""	Project	Run_accession	Treatment	Author	Fungicide_type	Duration	Dose
SRR22015738	P4	SRR22015738	Treated	Sim et al., 2132	Triazole	45	2
SRR22015850	P4	SRR22015850	Treated	Sim et al., 2128	Triazole	45	2
SRR22015851	P4	SRR22015851	Treated	Sim et al., 2140	Triazole	45	2
SRR22015852	P4	SRR22015852	Treated	Sim et al., 2107	Triazole	45	2
SRR22015853	P4	SRR22015853	Treated	Sim et al., 2102	Triazole	45	2
SRR22015854	P4	SRR22015854	Treated	Sim et al., 2114	Triazole	45	2
SRR22015855	P4	SRR22015855	Control	Sim et al., 2077	Triazole	45	2
SRR22015857	P4	SRR22015857	Control	Sim et al., 2072	Triazole	45	2
SRR22015858	P4	SRR22015858	Control	Sim et al., 2084	Triazole	45	2
SRR22015859	P4	SRR22015859	Control	Sim et al., 2053	Triazole	45	2
SRR22015860	P4	SRR22015860	Control	Sim et al., 2048	Triazole	45	2
SRR22015861	P4	SRR22015861	Control	Sim et al., 2060	Triazole	45	2
SRR22015863	P4	SRR22015863	Control	Sim et al., 2024	Triazole	45	2
SRR22015864	P4	SRR22015864	Control	Sim et al., 2036	Triazole	45	2
SRR22015874	P4	SRR22015874	Treated	Sim et al., 2220	Triazole	45	2
SRR22015875	P4	SRR22015875	Treated	Sim et al., 2186	Triazole	45	2
SRR22015876	P4	SRR22015876	Treated	Sim et al., 2190	Triazole	45	2
SRR22015877	P4	SRR22015877	Treated	Sim et al., 2194	Triazole	45	2
SRR22015878	P4	SRR22015878	Treated	Sim et al., 2160	Triazole	45	2
SRR22015879	P4	SRR22015879	Treated	Sim et al., 2164	Triazole	45	2
SRR22015880	P4	SRR22015880	Treated	Sim et al., 2168	Triazole	45	2
SRR22015881	P4	SRR22015881	Treated	Sim et al., 2134	Triazole	45	2
SRR22015883	P4	SRR22015883	Treated	Sim et al., 2138	Triazole	45	2
SRR22015884	P4	SRR22015884	Treated	Sim et al., 2142	Triazole	45	2
SRR22015885	P4	SRR22015885	Treated	Sim et al., 2108	Triazole	45	2
SRR22015886	P4	SRR22015886	Treated	Sim et al., 2112	Triazole	45	2
SRR22015887	P4	SRR22015887	Treated	Sim et al., 2116	Triazole	45	2
SRR22015888	P4	SRR22015888	Control	Sim et al., 2078	Triazole	45	2
SRR22015889	P4	SRR22015889	Control	Sim et al., 2082	Triazole	45	2
SRR22015890	P4	SRR22015890	Control	Sim et al., 2086	Triazole	45	2
SRR22015891	P4	SRR22015891	Control	Sim et al., 2054	Triazole	45	2
SRR22015892	P4	SRR22015892	Control	Sim et al., 2058	Triazole	45	2
SRR22015894	P4	SRR22015894	Control	Sim et al., 2062	Triazole	45	2
SRR22015895	P4	SRR22015895	Control	Sim et al., 2030	Triazole	45	2
SRR22015896	P4	SRR22015896	Control	Sim et al., 2034	Triazole	45	2
SRR22015897	P4	SRR22015897	Control	Sim et al., 2038	Triazole	45	2
CRR190744	P5	CRR190744	Control	Chuang et al., 2021	Benzimidazole	14	2
CRR190745	P5	CRR190745	Control	Chuang et al., 2022	Benzimidazole	14	2
CRR190746	P5	CRR190746	Control	Chuang et al., 2023	Benzimidazole	14	2
CRR190747	P5	CRR190747	Control	Chuang et al., 2024	Benzimidazole	14	2
CRR190748	P5	CRR190748	Control	Chuang et al., 2025	Benzimidazole	14	2
CRR190749	P5	CRR190749	Control	Chuang et al., 2026	Benzimidazole	14	2
CRR190750	P5	CRR190750	Control	Chuang et al., 2027	Benzimidazole	14	2
CRR190751	P5	CRR190751	Control	Chuang et al., 2028	Benzimidazole	14	2
CRR190752	P5	CRR190752	Control	Chuang et al., 2029	Benzimidazole	14	2
CRR190753	P5	CRR190753	Treated	Chuang et al., 2030	Benzimidazole	14	2
CRR190754	P5	CRR190754	Treated	Chuang et al., 2031	Benzimidazole	14	2
CRR190755	P5	CRR190755	Treated	Chuang et al., 2032	Benzimidazole	14	2
CRR190756	P5	CRR190756	Treated	Chuang et al., 2033	Benzimidazole	14	2
CRR190757	P5	CRR190757	Treated	Chuang et al., 2034	Benzimidazole	14	2
CRR190758	P5	CRR190758	Treated	Chuang et al., 2035	Benzimidazole	14	2
CRR190759	P5	CRR190759	Treated	Chuang et al., 2036	Benzimidazole	14	2
CRR190760	P5	CRR190760	Treated	Chuang et al., 2037	Benzimidazole	14	2
CRR190761	P5	CRR190761	Treated	Chuang et al., 2038	Benzimidazole	14	2
CRR190762	P5	CRR190762	Treated	Chuang et al., 2039	Benzimidazole	14	2
CRR190763	P5	CRR190763	Treated	Chuang et al., 2040	Benzimidazole	14	2
CRR190764	P5	CRR190764	Treated	Chuang et al., 2041	Benzimidazole	14	2
CRR190765	P5	CRR190765	Control	Chuang et al., 2042	Benzimidazole	14	2
CRR190766	P5	CRR190766	Control	Chuang et al., 2043	Benzimidazole	14	2
CRR190767	P5	CRR190767	Control	Chuang et al., 2044	Benzimidazole	14	2
CRR190768	P5	CRR190768	Control	Chuang et al., 2045	Benzimidazole	14	2
CRR190769	P5	CRR190769	Control	Chuang et al., 2046	Benzimidazole	14	2
CRR190770	P5	CRR190770	Control	Chuang et al., 2047	Benzimidazole	14	2
CRR190771	P5	CRR190771	Control	Chuang et al., 2048	Benzimidazole	14	2
